company,industry,career_url,swe,ml,data,embedded,firmware,robotics,cybersecurity
Nike,Retail,https://jobs.nike.com,Yes,Yes,Yes,No,No,No,No
Progressive,Insurance,https://careers.progressive.com,Yes,No,Yes,No,No,No,Yes
State Farm,Insurance,https://jobs.statefarm.com,Yes,No,Yes,No,No,No,Yes
Garmin,Technology,https://careers.garmin.com,Yes,No,No,Yes,Yes,No,No
John Deere,Agriculture,https://careers.deere.com,Yes,No,Yes,Yes,No,Yes,No
Cummins,Manufacturing,https://careers.cummins.com,Yes,No,Yes,Yes,Yes,No,No
Caterpillar,Manufacturing,https://careers.caterpillar.com,Yes,No,Yes,Yes,No,Yes,No
Delta Airlines,Transportation,https://careers.delta.com,Yes,No,Yes,No,No,No,Yes
UPS,Logistics,https://www.jobs-ups.com,Yes,No,Yes,No,No,No,Yes
Fidelity,Finance,https://jobs.fidelity.com,Yes,Yes,Yes,No,No,No,Yes
RTX,Aerospace,https://careers.rtx.com,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lockheed Martin,Aerospace,https://www.lockheedmartinjobs.com,Yes,Yes,Yes,Yes,Yes,Yes,Yes
L3Harris,Defense,https://careers.l3harris.com,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Honeywell,Manufacturing,https://careers.honeywell.com,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3M,Manufacturing,https://careers.3m.com,Yes,No,Yes,No,No,No,Yes
Raymond James,Finance,https://www.raymondjames.com/careers,Yes,No,Yes,No,No,No,Yes
Capital One,Finance,https://www.capitalonecareers.com,Yes,Yes,Yes,No,No,No,Yes
Publix,Retail,https://jobs.publix.com,Yes,No,Yes,No,No,No,Yes
Best Buy,Retail,https://jobs.bestbuy.com,Yes,Yes,Yes,No,No,No,Yes
Target,Retail,https://corporate.target.com/careers,Yes,Yes,Yes,No,No,No,Yes
