company,industry,priority,internship_types,platform,career_url,platform_identifier,enabled
Target,Retail,High,SWE|Data|Cybersecurity,custom,https://corporate.target.com/careers,,yes
Chipotle,Restaurant,High,SWE|Data,custom,https://jobs.chipotle.com/internships,,yes
Progressive,Insurance,High,SWE|ML|Data|Cybersecurity,custom,https://careers.progressive.com/pages/students-graduates-internships,,yes
Hudl,Sports Tech,High,SWE|ML|Data|Product,greenhouse,https://www.hudl.com/jobs/interns,hudl,yes
Strava,Sports Tech,High,SWE|ML|Mobile,custom,https://www.strava.com/careers,,yes
Nike,Retail,Medium,SWE|ML|Data|Cybersecurity,custom,https://jobs.nike.com,,yes
State Farm,Insurance,Medium,SWE|Data|Cybersecurity,jibe,https://jobs.statefarm.com,jobs.statefarm.com,yes
Garmin,Technology,Medium,SWE|Embedded|Firmware,jibe,https://careers.garmin.com,careers.garmin.com,yes
John Deere,Agriculture,Medium,SWE|Data|Embedded|Robotics,eightfold,https://careers.deere.com,careers.deere.com|johndeere.com,yes
Cummins,Manufacturing,Medium,SWE|Data|Embedded|Firmware,custom,https://cummins.jobs/career-path/internships/jobs/,,yes
Caterpillar,Manufacturing,Medium,SWE|Data|Embedded|Robotics,custom,https://careers.caterpillar.com,,yes
Delta Airlines,Transportation,Medium,SWE|Data|Cybersecurity,custom,https://www.delta.com/us/en/careers/students-and-early-careers,,yes
UPS,Logistics,Medium,SWE|Data|Cybersecurity,custom,https://www.jobs-ups.com,,yes
Fidelity,Finance,Medium,SWE|ML|Data|Cybersecurity,custom,https://jobs.fidelity.com,,yes
RTX,Aerospace,Medium,SWE|ML|Data|Embedded|Firmware|Robotics|Cybersecurity,custom,https://careers.rtx.com,,yes
Lockheed Martin,Aerospace,Medium,SWE|ML|Data|Embedded|Firmware|Robotics|Cybersecurity,eightfold,https://www.lockheedmartin.com/en-us/careers/index.html,lockheedmartin.eightfold.ai|lockheedmartin.com,yes
L3Harris,Defense,Medium,SWE|ML|Data|Embedded|Firmware|Robotics|Cybersecurity,custom,https://careers.l3harris.com,,yes
Honeywell,Manufacturing,Medium,SWE|ML|Data|Embedded|Firmware|Robotics|Cybersecurity,oracle_orc,https://careers.honeywell.com,careers.honeywell.com|ibqbjb.fa.ocs.oraclecloud.com|CX_1|Honeywell,yes
3M,Manufacturing,Medium,SWE|Data|Cybersecurity,custom,https://3m.wd1.myworkdayjobs.com/en/Search,,yes
Raymond James,Finance,Medium,SWE|Data|Cybersecurity,custom,https://www.raymondjames.com/careers,,yes
Capital One,Finance,Medium,SWE|ML|Data|Cybersecurity,custom,https://www.capitalonecareers.com,,yes
Publix,Retail,Medium,SWE|Data|Cybersecurity,custom,https://jobs.publix.com,,yes
Best Buy,Retail,Medium,SWE|ML|Data|Cybersecurity,custom,https://jobs.bestbuy.com,,yes
McKesson,Healthcare Distribution,Medium,SWE|Cybersecurity|Data,custom,https://careers.mckesson.com/en/early-talent,,yes
Cigna,Health Insurance,Medium,SWE|Data,custom,https://jobs.thecignagroup.com/us/en/technology-development-program,,yes
Liberty Mutual,Insurance,Medium,SWE|Data|Cybersecurity,custom,https://jobs.libertymutualgroup.com/careers/undergraduate-internships/,,yes
USAA,Insurance/Finance,Medium,SWE|Data|Cybersecurity,custom,https://www.usaajobs.com/careers,,yes
MassMutual,Insurance/Finance,Medium,SWE|Data,custom,https://careers.massmutual.com/students,,yes
Northwestern Mutual,Insurance/Finance,Medium,SWE|Data,custom,https://careers.northwesternmutual.com/teams/internships/,,yes
Truist,Banking,Medium,SWE|Data|Cybersecurity,custom,https://careers.truist.com/us/en/early-career-listings-2026,,yes
Charles Schwab,Finance,Medium,SWE|Data,custom,https://www.schwabjobs.com/internship-academy,,yes
Edward Jones,Finance,Medium,SWE,custom,https://www.edwardjones.com/us-en/about-us/careers,,yes
Southwest Airlines,Airlines,Medium,SWE|Data,custom,https://careers.southwestair.com/us/en/programs,,yes
FedEx,Logistics,Medium,SWE|Data,custom,https://careers.fedex.com/career-areas/student-programs/jobs,,yes
Home Depot,Retail,Medium,SWE|Data|ML,custom,https://careers.homedepot.com/student-internships/,,yes
Lowe's,Retail,Medium,SWE|Data,custom,https://talent.lowes.com/us/en/internships,,yes
Dick's Sporting Goods,Retail,Medium,SWE|Cybersecurity|Data,custom,https://www.dickssportinggoods.jobs/students-grads/,,yes
Kroger,Retail/Grocery,Medium,SWE|Data,custom,https://www.krogerfamilycareers.com/en/sites/CX_2001/pages/5015,,yes
Illinois Tool Works,Manufacturing,Medium,SWE|Embedded,custom,https://jobs.itw.com,,yes
GE Aerospace,Aerospace,Medium,SWE|Embedded|Firmware,custom,https://careers.geaerospace.com/global/en/us-internships,,yes
Boeing,Aerospace,Medium,SWE|Embedded|Data,custom,https://jobs.boeing.com/category/internship-jobs/185/9287/1,,yes
Duke Energy,Energy/Utilities,Medium,SWE|Data|Cybersecurity,custom,https://dukeenergy.wd1.myworkdayjobs.com/search,,yes
UnitedHealth Group,Healthcare,Medium,SWE|Data|ML,custom,https://www.unitedhealthgroup.com/careers,,yes
Parker Hannifin,Manufacturing,Medium,SWE|Embedded|Data,custom,https://www.parker.com/us/en/careers/internships.html,,yes
Eaton,Manufacturing,Medium,SWE|Embedded|Data,eightfold,https://www.eaton.com/us/en-us/company/careers/university-students.html,eaton.eightfold.ai|eaton.com,yes
Mercury Insurance,Insurance,Medium,Data|SWE,custom,https://www.mercuryinsurance.com/about/careers-jobs/early-careers/internships.html,,yes
PepsiCo,Consumer Goods,Medium,SWE|Data,custom,https://www.pepsicojobs.com/internshipsprograms/jobs,,yes
Procter & Gamble,Consumer Goods,Medium,SWE|Data|ML,custom,https://www.pgcareers.com/global/en/internships,,yes
