company,title,location,role_type,application_url
Garmin,Embedded Software Intern,Olathe KS,Embedded,https://careers.garmin.com
John Deere,Software Engineering Intern,Moline IL,SWE,https://careers.deere.com
RTX,Firmware Engineering Intern,Tucson AZ,Firmware,https://careers.rtx.com
Honeywell,Embedded Systems Intern,Phoenix AZ,Embedded,https://careers.honeywell.com
Fidelity,Machine Learning Intern,Boston MA,ML,https://jobs.fidelity.com
Target,Software Engineering Intern,Minneapolis MN,SWE,https://corporate.target.com/careers
Capital One,Machine Learning Intern,McLean VA,ML,https://www.capitalonecareers.com
L3Harris,FPGA Engineering Intern,Melbourne FL,Firmware,https://careers.l3harris.com
Nike,Machine Learning Engineering Intern,Beaverton OR,ML,https://jobs.nike.com
Anduril,Autonomy Software Engineering Intern,Costa Mesa CA,SWE,https://jobs.anduril.com
Palantir,Software Engineering Intern,New York NY,SWE,https://careers.palantir.com
Databricks,Machine Learning Intern,San Francisco CA,ML,https://careers.databricks.com
Stripe,Software Engineering Intern,Seattle WA,SWE,https://stripe.com/jobs
Snowflake,Software Engineering Intern,Atlanta GA,SWE,https://careers.snowflake.com
OpenAI,Machine Learning Intern,San Francisco CA,ML,https://openai.com/careers
Anthropic,AI Safety Research Intern,San Francisco CA,ML,https://www.anthropic.com/careers
Perplexity,AI Research Engineering Intern,San Francisco CA,ML,https://www.perplexity.ai/careers
